Asset Id;Name;IP Addresses;Modules;OS;Last Logged-In User;Last Inventory;Activity;NetBIOS Name;Sources;Tags
193142150;172.31.52.145;172.31.52.145;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193174918;172.31.52.206;172.31.52.206;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
24110953;SPRDBDOTRSGRU01.GRU.LOCAL;fe80:0:0:0:250:56ff:fea3:6eb8,172.31.49.16;VM,SCA,PM,CSAM;Ubuntu Linux 20.04.6;root;16 May 2025 02:58AM GMT-0300;Inventory Scan Complete;;Cloud Agent;Cloud Agent, GRU_ACN_3-Maior, GRU-GERAL, GRU_CAT_ACN-INFRACRITICA
193142155;172.31.52.183;172.31.52.183;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193142154;10.36.52.213;10.36.52.213;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
24112996;sprdapcmsgru02;172.31.49.87;VM,SCA,PM,CSAM;Red Hat Enterprise Linux Server 6.10;root;16 May 2025 02:30AM GMT-0300;Inventory Scan Complete;;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
23441257;SPRDAPOMPCGRU01.gru.local;fe80:0:0:0:3df3:274d:d029:2340,172.31.49.71;VM,SCA,PM,CSAM;Microsoft Windows Server 2012 R2 Datacenter 6.3.9600 64-bit N/A Build 9600 UBR 20778;gru.local\leandro.jesus.t;27 Sep 2024 01:00PM GMT-0300;Inventory Scan Complete;SPRDAPOMPCGRU01;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
193174927;10.36.52.253;10.36.52.253;VM,CSAM;EulerOS / Ubuntu / Fedora / Tiny Core Linux / Linux 3.x / IBM / FortiSOAR / F5 Networks Big-IP;'-;'-;Scanned;;;AG_GRU_Homologação
109170828;SPRDAPAUDGRU01.gru.local;172.31.57.69;VM,SCA,PM,CSAM;Microsoft Windows Server 2019 Datacenter 10.0.17763 64-bit N/A Build 17763 UBR 6293;alpha;16 May 2025 04:05AM GMT-0300;Inventory Scan Complete;SPRDAPAUDGRU01;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
193174926;shomapcnwgru01.gru.local;10.36.52.50;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
24268668;SDESAPNWGRU01;172.31.52.122,fe80:0:0:0:250:56ff:fe9d:6556;VM,SCA,PM,CSAM;Red Hat Enterprise Linux Server 6.10;root;16 May 2025 04:08AM GMT-0300;Inventory Scan Complete;;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
193142156;172.31.52.208;172.31.52.208;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
19242806;sprdcctvgru08.gru.local;10.36.57.48,10.36.60.48,10.36.57.49,10.36.57.50,10.36.57.40,10.36.61.48,10.36.57.52;VM,SCA,PM,CSAM;Microsoft Windows Server 2012 R2 Standard 6.3.9600 64-bit N/A Build 9600 UBR 19296;gru.local\adm-wanilson.santos;16 May 2025 01:00AM GMT-0300;Inventory Scan Complete;SPRDCCTVGRU08;Cloud Agent;Cloud Agent, GRU_ACN_4-Perigoso, GRU-GERAL, GRU_CAT_ACN-CFTV
193174928;10.36.52.166;10.36.52.166;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
100023266;SPRDAPCADGRU01.gru.local;172.31.50.210,fe80:0:0:0:28f9:76e9:ae47:20f5;VM,SCA,PM,CSAM;Microsoft Windows Server 2008 R2 Standard 6.1.7601 64-bit Service Pack 1 Build 7601 UBR 24055;GRU\adm-washington.silva;16 May 2025 04:12AM GMT-0300;Inventory Scan Complete;SPRDAPCADGRU01;Cloud Agent;Cloud Agent, GRU_ACN_4-Perigoso, GRU-GERAL, GRU_CAT_ACN-INFRACRITICA
34931714;SPRDVCHSEGRU05;172.31.49.56;VM,SCA,PM,CSAM;Microsoft Windows Server 2019 Datacenter 10.0.17763 64-bit N/A Build 17763 UBR 6189;GRU\washington.silva;16 May 2025 03:54AM GMT-0300;Inventory Scan Complete;SPRDVCHSEGRU05;Cloud Agent;Cloud Agent, GRU_ACN_3-Maior, GRU-GERAL, GRU_CAT_ACN-ESTACIONAMENTO
73052742;SPRDAPGLPIGRU02;172.31.50.82,fe80:0:0:0:250:56ff:feb6:778d;VM,SCA,PM,CSAM;Ubuntu Linux 22.04.4;root;15 May 2025 11:02PM GMT-0300;Inventory Scan Complete;;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
24393577;SHOMRMAGRU04;10.36.52.17,fe80:0:0:0:250:56ff:fe8a:4427;VM,SCA,PM,CSAM;Ubuntu Linux 22.04.5;sysgru;16 May 2025 04:30AM GMT-0300;Inventory Scan Complete;;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
22316913;SPRDBDWMBGRU01.gru.local;172.31.49.232;VM,SCA,PM,CSAM;Microsoft Windows Server 2019 Datacenter 10.0.17763 64-bit N/A Build 17763 UBR 7314;GRU\sergio.fais;16 May 2025 08:06AM GMT-0300;Inventory Scan Complete;SPRDBDWMBGRU01;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
198759920;SPRDBDHSQLGRU13.gru.local;172.31.62.54,172.31.49.180;VM,SCA,CSAM;Microsoft Windows Server 2022 Datacenter 10.0.20348 64-bit N/A Build 20348 UBR 3453;alpha;16 May 2025 01:08AM GMT-0300;Inventory Scan Complete;SPRDBDHSQLGRU13;Cloud Agent;Cloud Agent, GRU_ACN_5-Catastrofico, GRU-GERAL, GRU_CAT_ACN-CMS
19529472;SPRDAPIAMGRU10.gru.local;172.31.50.214;VM,SCA,PM,CSAM;Microsoft Windows Server 2016 Standard 10.0.14393 64-bit N/A Build 14393 UBR 7876;GRU\sistemas.gru;16 May 2025 04:26AM GMT-0300;Inventory Scan Complete;SPRDAPIAMGRU10;Cloud Agent;Cloud Agent, GRU_ACN_2-Menor, GRU-GERAL, GRU_CAT_ACN-IAM
25528236;SPRDAPCNIGRU01.gru.local;172.31.50.154;VM,SCA,PM,CSAM;Microsoft Windows Server 2012 R2 Datacenter 6.3.9600 64-bit N/A Build 9600 UBR 19817;cleber.malaquias;16 May 2025 06:04AM GMT-0300;Inventory Scan Complete;SPRDAPCNIGRU01;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
193140138;10.36.52.227;10.36.52.227;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193140137;10.36.52.111;10.36.52.111;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193140142;10.36.52.141;10.36.52.141;VM,CSAM;OS Not Identified;'-;'-;Scanned;;;AG_GRU_Homologação
193140151;10.36.52.148;10.36.52.148;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193140150;172.31.52.6;172.31.52.6;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
193140149;shomapvcsagru01.gru.local;10.36.52.150;VM,CSAM;VMware ESX Server;'-;'-;Scanned;;;AG_GRU_Homologação
