"Endpoint Name","Site","Last Logged In User","OS Username","Group","Tags","Domain","Account","Console Visible IP","Agent Version","Serial Number","Subscribed On","Device Type","Model Name","OS","OS Version","Architecture","Memory","CPU Count","CPU Type","Core Count","Management Connectivity","Network Status","Update Status","Scan Status","Last Reported IP","Pending Uninstall","Disk Encryption","Agent UUID","Agent ID","Customer Identifier","Console Migration Status","Operational State","Operational State Expiration","Last Reboot Date","Installer Type","Reboot Required due to Threat","User Action Required","Remote Profiling State","Remote Profiling Expiration","Storage Type","Storage Name","Cloud Account","Cloud Location","Cloud Network","Cloud Image","Cloud Tags","Cloud Instance Size","Cloud Instance ID","Cloud Security Group","Cluster Name","K8s Type","K8s Version","Agent Namespace","Agent Pod Name","K8s Node Name","K8s Node Labels","ECS Type","ECS Version","ECS Cluster Name","ECS Task Arn","ECS Task Availability Zone","ECS Service Name","ECS Service Arn","ECS Task Definition Family","ECS Task Definition Revision","ECS Task Definition Arn","Is Uninstalled","Decommissioned at","Missing Permissions"
"SPRDAPNBUGRU02","Default site","N/A","root","Default Group","None","GRU.LOCAL","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Oct 29, 2025 03:13:41 PM","server","Dell Inc. PowerEdge M620","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.60.1.el9_6.x86_64","64 bit","62 GB",2,"Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz",40,"Online","Connected","Up to date","Completed( Oct 29, 2025 04:17:30 PM )","172.31.62.161","No","Off","73e3215a-d7a5-72b3-e6b8-4e7c292021cb",2336412054163804895,"N/A","N/A","Not disabled","N/A","Nov 17, 2025 09:50:09 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SHOMBDITSMGRU01","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","200.174.72.155","24.3.3.6","N/A","Oct 07, 2025 07:02:49 PM","server","VMware, Inc. VMware7,1","Linux","Linux,Ubuntu 24.04.2 LTS 6.8.0-85-generic","64 bit","23 GB",4,"Intel(R) Xeon(R) CPU E5-4620 v2 @ 2.60GHz",8,"Online","Connected","Up to date","Completed( Oct 07, 2025 08:06:29 PM )","172.31.52.101","No","Off","6c972bf2-59f2-e162-7d4c-4d491c80181b",2320582314084502594,"N/A","N/A","Not disabled","N/A","Oct 07, 2025 02:23:28 PM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDBDITSMGRU01","Default site","N/A","root","SERVIDORES LINUX","ACN : INFRA CRITICA, Impacto : C-Maior","unknown","GRUPO INVEPAR","177.130.117.155","24.3.3.6","N/A","Oct 07, 2025 07:00:12 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Ubuntu 24.04.2 LTS 6.8.0-54-generic","64 bit","23 GB",4,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",8,"Online","Connected","Up to date","Completed( Oct 07, 2025 07:23:37 PM )","172.31.49.174","No","Off","6c950e40-25d1-e519-b29c-a1032a01c8e7",2320580998766994466,"N/A","N/A","Not disabled","N/A","Feb 26, 2025 12:55:44 PM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SHOMAPITSMGRU01","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","200.174.72.155","24.3.3.6","N/A","Oct 07, 2025 06:58:36 PM","server","VMware, Inc. VMware7,1","Linux","Linux,Ubuntu 24.04.3 LTS 6.8.0-88-generic","64 bit","63 GB",8,"Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz",16,"Online","Connected","Up to date","Aborted( Oct 08, 2025 12:34:43 PM )","172.31.52.100","No","Off","6c56c7d2-ea49-96d1-efe4-310aa727793f",2320580192680095951,"N/A","N/A","Not disabled","N/A","Nov 26, 2025 11:01:25 AM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPITSMGRU01","Default site","N/A","root","SERVIDORES LINUX","ACN : INFRA CRITICA, Impacto : C-Maior","unknown","GRUPO INVEPAR","177.130.117.155","24.3.3.6","N/A","Oct 07, 2025 06:55:32 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Ubuntu 24.04.2 LTS 6.8.0-78-generic","64 bit","63 GB",8,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",16,"Online","Connected","Up to date","Completed( Oct 08, 2025 08:40:17 AM )","172.31.49.49","No","Off","6c5214be-05b6-dd89-5ee8-8b93ea6e11ad",2320578655131410797,"N/A","N/A","Not disabled","N/A","Aug 23, 2025 02:28:03 AM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPVPRGRU01","Default site","N/A","root","SERVIDORES LINUX","None","GRU.LOCAL","GRUPO INVEPAR","200.174.72.155","24.3.3.6","N/A","Sep 26, 2025 04:22:51 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,SUSE Enterprise Server 15 SP4 5.14.21-150400.24.147-default","64 bit","8 GB",1,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",4,"Offline","Connected","Up to date","Completed( Sep 26, 2025 05:40:26 PM )","172.31.62.193","No","Off","40f71911-5570-de7d-e684-a309b6b144a9",2312529269680414905,"N/A","N/A","Not disabled","N/A","May 07, 2025 05:56:07 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDPRXEGTGRU02","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Sep 10, 2025 01:34:46 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.41.1.el9_6.x86_64","64 bit","4 GB",2,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",2,"Offline","Connected","Up to date","Aborted( Sep 10, 2025 01:44:05 PM )","172.31.50.88","No","Off","6314ac53-a589-a81c-2110-168d6ee4f63e",2300848258459613850,"N/A","N/A","Not disabled","N/A","Sep 10, 2025 01:40:15 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDPRXEGTGRU01","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Sep 10, 2025 01:34:09 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.41.1.el9_6.x86_64","64 bit","4 GB",2,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",2,"Offline","Connected","Up to date","Aborted( Sep 10, 2025 01:42:41 PM )","172.31.50.77","No","Off","63155457-b9c5-6230-a1ff-101780ae58ae",2300847948500443323,"N/A","N/A","Not disabled","N/A","Sep 10, 2025 01:40:09 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDBDORAGRU13","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Sep 09, 2025 07:42:08 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.41.1.el9_6.x86_64","64 bit","62 GB",8,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",16,"Online","Connected","Up to date","Completed( Sep 09, 2025 08:04:11 PM )","172.31.49.212","No","Off","639817ee-92a9-4324-0601-ef225ee31bb5",2300308388791119445,"N/A","N/A","Not disabled","N/A","Sep 09, 2025 08:31:19 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPECGRU07","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Sep 09, 2025 07:33:11 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.41.1.el9_6.x86_64","64 bit","31 GB",8,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",16,"Online","Connected","Up to date","Completed( Sep 09, 2025 07:55:40 PM )","172.31.49.211","No","Off","6323e1a3-f424-bed5-50a6-248e4fd7933c",2300303882999634998,"N/A","N/A","Not disabled","N/A","Sep 09, 2025 08:31:16 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
