"Endpoint Name","Site","Last Logged In User","OS Username","Group","Tags","Domain","Account","Console Visible IP","Agent Version","Serial Number","Subscribed On","Device Type","Model Name","OS","OS Version","Architecture","Memory","CPU Count","CPU Type","Core Count","Management Connectivity","Network Status","Update Status","Scan Status","Last Reported IP","Pending Uninstall","Disk Encryption","Agent UUID","Agent ID","Customer Identifier","Console Migration Status","Operational State","Operational State Expiration","Last Reboot Date","Installer Type","Reboot Required due to Threat","User Action Required","Remote Profiling State","Remote Profiling Expiration","Storage Type","Storage Name","Cloud Account","Cloud Location","Cloud Network","Cloud Image","Cloud Tags","Cloud Instance Size","Cloud Instance ID","Cloud Security Group","Cluster Name","K8s Type","K8s Version","Agent Namespace","Agent Pod Name","K8s Node Name","K8s Node Labels","ECS Type","ECS Version","ECS Cluster Name","ECS Task Arn","ECS Task Availability Zone","ECS Service Name","ECS Service Arn","ECS Task Definition Family","ECS Task Definition Revision","ECS Task Definition Arn","Is Uninstalled","Decommissioned at","Missing Permissions"
"SPRDZBGRU03RESTOREPOSTGRES","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","200.174.72.155","24.3.3.6","N/A","Sep 03, 2025 06:32:50 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Ubuntu 24.04.3 LTS 6.8.0-79-generic","64 bit","33 GB",10,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",10,"Offline","Connected","Up to date","Completed( Sep 03, 2025 06:54:14 PM )","172.16.253.91","No","Off","615e61a9-cea8-f563-1e06-488e2a4d5074",2295924848256483453,"N/A","N/A","Not disabled","N/A","Sep 27, 2025 03:50:45 PM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDZBGRU03","Default site","N/A","root","SERVIDORES LINUX","ACN : INFRA CRITICA, Impacto : B-Perigoso","unknown","GRUPO INVEPAR","177.130.117.155","24.3.3.6","N/A","Sep 03, 2025 06:31:46 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Ubuntu 24.04.2 LTS 6.8.0-59-generic","64 bit","33 GB",10,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",10,"Online","Connected","Up to date","Completed( Sep 03, 2025 06:59:06 PM )","172.16.253.70","No","Off","614ad2c6-2157-90a2-5f65-5fa3000c1a28",2295924318607973083,"N/A","N/A","Not disabled","N/A","May 08, 2025 02:31:41 AM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"sprdapsshgru01.gru.local","Default site","N/A","root","SERVIDORES LINUX","None","gru.local","GRUPO INVEPAR","200.174.72.155","24.3.3.6","N/A","Sep 03, 2025 03:18:08 PM","server","Dell Inc. PowerEdge M620","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.39.1.el9_6.x86_64","64 bit","62 GB",2,"Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz",40,"Online","Connected","Up to date","Aborted( Sep 03, 2025 03:40:03 PM )","172.31.49.176","No","Off","61b88b1b-e224-bc0a-0f4b-3cb4049ba031",2295826857482845001,"N/A","N/A","Not disabled","N/A","Sep 03, 2025 03:38:30 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"sprdapmisp01","Default site","N/A","root","SERVIDORES MISP","None","unknown","GRUPO INVEPAR","177.130.117.155","24.3.3.6","N/A","Aug 19, 2025 01:53:29 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Ubuntu 22.04.5 LTS 5.15.0-157-generic","64 bit","8 GB",2,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",4,"Online","Connected","Up to date","Aborted( Aug 19, 2025 02:00:36 PM )","192.168.0.93","No","Off","5d6c187f-e08c-d617-644a-94de1da939cc",2284912618121463355,"N/A","N/A","Not disabled","N/A","Oct 02, 2025 04:43:46 PM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDBDSPGGRU01","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Aug 06, 2025 04:24:39 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.52.1.el9_6.x86_64","64 bit","15 GB",4,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",8,"Online","Connected","Up to date","Completed( Aug 06, 2025 04:38:23 PM )","172.31.50.122","No","Off","591f39bf-7d5d-64b6-f22c-4a5f5f31fe57",2275566616206279185,"N/A","N/A","Not disabled","N/A","Oct 16, 2025 06:42:28 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPSPGGRU01","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","200.174.72.155","24.1.1.16","N/A","Aug 06, 2025 03:28:46 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.52.1.el9_6.x86_64","64 bit","23 GB",4,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",8,"Online","Connected","Up to date","Completed( Aug 06, 2025 03:44:46 PM )","172.31.50.123","No","Off","59127e6a-db2c-2650-3df7-2f0cedbe336c",2275538491507646676,"N/A","N/A","Not disabled","N/A","Oct 16, 2025 06:41:33 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPSQBGRU01","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","200.174.72.155","24.1.1.16","N/A","Jul 06, 2025 06:37:35 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.4 (Plow) 5.14.0-427.40.1.el9_4.x86_64","64 bit","15 GB",2,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",4,"Online","Connected","Up to date","Completed( Jul 06, 2025 06:50:45 PM )","172.31.50.125","No","Off","4f628bc4-108f-3b54-7a07-de59d3b4cfa1",2253165473942896684,"N/A","N/A","Not disabled","N/A","Jul 03, 2025 07:08:47 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"sprdapgfngru02","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","177.130.117.155","24.3.3.6","N/A","Jun 18, 2025 12:20:24 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,Ubuntu 20.04.3 LTS 5.4.0-214-generic","64 bit","12 GB",2,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",4,"Online","Connected","Up to date","Completed( Jun 18, 2025 01:02:01 PM )","172.16.253.82","No","Off","4a5bd16d-6b60-35e5-ec4b-c572148af44a",2239929667099157327,"N/A","N/A","Not disabled","N/A","Apr 23, 2025 12:50:20 PM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SHOMAPPOSTGRU01","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","200.174.72.155","24.3.3.6","N/A","May 27, 2025 12:37:33 PM","server","VMware, Inc. VMware7,1","Linux","Linux,Red Hat Enterprise release 8.10 (Ootpa) 4.18.0-553.85.1.el8_10.x86_64","64 bit","4 GB",2,"Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz",2,"Online","Connected","Up to date","Completed( May 27, 2025 01:20:04 PM )","172.31.52.13","No","Off","4382b84e-234d-66c4-8274-a2abd1c83a7f",2223993233401010493,"N/A","N/A","Not disabled","N/A","Nov 26, 2025 12:59:48 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPPOSTGRU01","Default site","N/A","root","SERVIDORES LINUX","ACN : INFRA CRITICA, Impacto : A-Catastrófico","unknown","GRUPO INVEPAR","177.130.117.155","24.3.3.6","N/A","May 27, 2025 12:28:09 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 8.10 (Ootpa) 4.18.0-553.81.1.el8_10.x86_64","64 bit","4 GB",1,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",2,"Online","Connected","Up to date","Completed( May 27, 2025 12:51:00 PM )","172.31.49.13","No","Off","4304a942-d07d-1ecc-e285-3cec67114791",2223988506887745774,"N/A","N/A","Not disabled","N/A","Oct 27, 2025 02:27:43 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPVPRGRU05","Default site","N/A","root","SERVIDORES LINUX","None","GRU.LOCAL","GRUPO INVEPAR","177.130.117.155","24.3.3.6","N/A","May 16, 2025 05:20:34 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,SUSE Enterprise Server 15 SP4 5.14.21-150400.24.147-default","64 bit","8 GB",1,"Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz",4,"Online","Connected","Up to date","Completed( May 16, 2025 06:02:48 PM )","172.31.62.197","No","Off","40818e8e-735a-146a-e5ee-24088f5c0964",2216163150553690257,"N/A","N/A","Not disabled","N/A","May 13, 2025 11:52:42 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPVPRGRU03.GRU.LOCAL","Default site","N/A","root","SERVIDORES LINUX","None","GRU.LOCAL","GRUPO INVEPAR","177.130.117.155","24.3.3.6","N/A","May 16, 2025 05:20:21 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,SUSE Enterprise Server 15 SP4 5.14.21-150400.24.147-default","64 bit","8 GB",1,"Intel(R) Xeon(R) CPU E5-4620 v2 @ 2.60GHz",4,"Online","Connected","Up to date","Completed( May 16, 2025 05:55:33 PM )","172.31.62.195","No","Off","407be24e-4483-6191-8f40-0ea95da1ab73",2216163037257097560,"N/A","N/A","Not disabled","N/A","May 14, 2025 12:38:58 AM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPVPRGRU06","Default site","N/A","root","SERVIDORES LINUX","None","GRU.LOCAL","GRUPO INVEPAR","200.174.72.155","24.3.3.6","N/A","May 16, 2025 05:20:15 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,SUSE Enterprise Server 15 SP4 5.14.21-150400.24.147-default","64 bit","8 GB",1,"Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz",4,"Online","Connected","Up to date","Completed( May 16, 2025 05:58:03 PM )","172.31.62.198","No","Off","408196fa-f769-4f78-cec0-698c0e71735e",2216162989894999961,"N/A","N/A","Not disabled","N/A","May 14, 2025 02:09:40 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPVPRGRU04","Default site","N/A","root","SERVIDORES LINUX","None","GRU.LOCAL","GRUPO INVEPAR","200.174.72.155","24.3.3.6","N/A","May 16, 2025 05:19:58 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,SUSE Enterprise Server 15 SP4 5.14.21-150400.24.147-default","64 bit","8 GB",1,"Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz",4,"Online","Connected","Up to date","Completed( May 16, 2025 05:47:51 PM )","172.31.62.196","No","Off","407ed58a-2dac-5bab-fd8a-43f2f393fb70",2216162850971202382,"N/A","N/A","Not disabled","N/A","May 13, 2025 11:10:54 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPVPRGRU02","Default site","N/A","root","SERVIDORES LINUX","None","GRU.LOCAL","GRUPO INVEPAR","177.130.117.155","24.3.3.6","N/A","May 16, 2025 05:18:31 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,SUSE Enterprise Server 15 SP4 5.14.21-150400.24.147-default","64 bit","8 GB",1,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",4,"Online","Connected","Up to date","Completed( May 16, 2025 05:37:21 PM )","172.31.62.194","No","Off","407a62ea-77d0-76eb-284a-45fa33c8110e",2216162120566366778,"N/A","N/A","Not disabled","N/A","May 07, 2025 07:02:08 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPCMSW01","Default site","N/A","root","SERVIDORES LINUX","Impacto : A-Catastrófico, ACN : CMS","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Apr 24, 2025 01:27:27 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.35.1.el9_6.x86_64","64 bit","15 GB",1,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",2,"Online","Connected","Up to date","Completed( Apr 24, 2025 01:41:55 PM )","192.168.0.62","No","Off","39177d94-8577-d4a9-2def-7513a51184b7",2200100749898120083,"N/A","N/A","Not disabled","N/A","Nov 05, 2025 01:37:33 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPCMSP01","Default site","N/A","root","SERVIDORES LINUX","Impacto : A-Catastrófico, ACN : CMS","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Apr 22, 2025 07:28:00 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.62.1.el9_6.x86_64","64 bit","31 GB",2,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",4,"Online","Connected","Up to date","Completed( Apr 22, 2025 07:42:26 PM )","172.31.49.181","No","Off","389c43ef-256b-320c-82ef-d6b3cdbfb706",2198832671477390277,"N/A","N/A","Not disabled","N/A","Nov 11, 2025 12:31:41 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPCMSW02","Default site","N/A","root","SERVIDORES LINUX","Impacto : A-Catastrófico, ACN : CMS","unknown","GRUPO INVEPAR","200.174.72.155","24.1.1.16","N/A","Apr 22, 2025 06:29:45 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.60.1.el9_6.x86_64","64 bit","15 GB",1,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",2,"Online","Connected","Up to date","Completed( Apr 22, 2025 06:42:37 PM )","192.168.0.63","No","Off","386df6f8-2c40-9990-5621-dcb8074c6250",2198803348455582562,"N/A","N/A","Not disabled","N/A","Nov 05, 2025 01:37:47 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPCMSP03","Default site","N/A","root","SERVIDORES LINUX","Impacto : A-Catastrófico, ACN : CMS","unknown","GRUPO INVEPAR","200.174.72.155","24.1.1.16","N/A","Apr 22, 2025 06:29:39 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.62.1.el9_6.x86_64","64 bit","31 GB",2,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",4,"Online","Connected","Up to date","Completed( Apr 22, 2025 06:42:01 PM )","172.31.49.183","No","Off","386d3714-52ef-d41f-52e7-0fa78fd766c4",2198803305212290693,"N/A","N/A","Not disabled","N/A","Nov 11, 2025 12:32:19 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPCMSP02","Default site","N/A","root","SERVIDORES LINUX","Impacto : A-Catastrófico, ACN : CMS","unknown","GRUPO INVEPAR","200.174.72.155","24.1.1.16","N/A","Apr 22, 2025 06:29:23 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.62.1.el9_6.x86_64","64 bit","31 GB",2,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",4,"Online","Connected","Up to date","Completed( Apr 22, 2025 06:42:35 PM )","172.31.49.182","No","Off","38694d3d-e17f-a506-f855-1fd1a06090a4",2198803164157784534,"N/A","N/A","Not disabled","N/A","Nov 11, 2025 12:31:55 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPCMSM01","Default site","N/A","root","SERVIDORES LINUX","Impacto : A-Catastrófico, ACN : CMS","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Apr 22, 2025 06:28:54 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.6 (Plow) 5.14.0-570.62.1.el9_6.x86_64","64 bit","15 GB",1,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",2,"Online","Connected","Up to date","Completed( Apr 22, 2025 06:42:16 PM )","172.31.49.184","No","Off","3862bf0c-25da-82f3-e620-15f2393083f1",2198802927154316096,"N/A","N/A","Not disabled","N/A","Nov 11, 2025 12:31:28 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPNBUGRU01","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","200.174.72.155","24.1.1.16","N/A","Apr 14, 2025 01:45:29 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.4 (Plow) 5.14.0-427.40.1.el9_4.x86_64","64 bit","62 GB",16,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",32,"Offline","Connected","Up to date","Completed( Apr 14, 2025 02:01:08 PM )","172.31.62.160","No","Off","3645dea6-d8be-f51d-521c-0d6ca35320a7",2192862066331625908,"N/A","N/A","Not disabled","N/A","Nov 04, 2025 01:33:24 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDZBGRU03","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","177.130.117.155","24.3.3.6","N/A","Apr 03, 2025 03:06:14 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Ubuntu 24.04.2 LTS 6.8.0-79-generic","64 bit","33 GB",10,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",10,"Offline","Connected","Up to date","Completed( Apr 03, 2025 03:30:30 PM )","172.16.253.91","No","Off","32497a6e-ee73-6206-2ec0-a7804b65c1f2",2184930181837494161,"N/A","N/A","Not disabled","N/A","Sep 03, 2025 06:01:37 PM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPIPAMGRU01","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Apr 03, 2025 01:30:45 AM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.7 (Plow) 5.14.0-611.9.1.el9_7.x86_64","64 bit","4 GB",2,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",4,"Online","Connected","Up to date","Completed( Apr 03, 2025 02:08:45 AM )","172.31.50.124","No","Off","32c6e1e4-ecb9-aba1-3d96-8eaffabc0da3",2184519737270925404,"N/A","N/A","Not disabled","N/A","Nov 26, 2025 12:00:08 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"sprdapsshgru01","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","200.174.72.155","24.3.3.6","N/A","Apr 03, 2025 01:00:58 AM","server","Dell Inc. PowerEdge M620","Linux","Linux,Ubuntu 24.04.2 LTS 6.8.0-79-generic","64 bit","63 GB",2,"Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz",40,"Offline","Connected","Up to date","Completed( Apr 03, 2025 06:03:20 AM )","172.31.49.176","No","Off","3227bd32-2ce8-58c8-2fd9-032fdf5da3ef",2184504743057509305,"N/A","N/A","Not disabled","N/A","Sep 01, 2025 08:18:49 PM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SHOMAPGPROGRU01","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","200.174.72.155","24.1.1.16","N/A","Apr 01, 2025 03:04:44 PM","server","VMware, Inc. VMware7,1","Linux","Linux,Red Hat Enterprise release 9.7 (Plow) 5.14.0-570.55.1.el9_6.x86_64","64 bit","7 GB",2,"Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz",2,"Online","Connected","Up to date","Completed( Apr 01, 2025 03:43:11 PM )","172.31.52.242","No","Off","3209d870-c5de-29ac-5e4e-56ae94c3dd9a",2183479871695543750,"N/A","N/A","Not disabled","N/A","Oct 28, 2025 07:21:05 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SHOMAPCUPSGRU01","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Mar 26, 2025 01:57:17 PM","server","VMware, Inc. VMware7,1","Linux","Linux,Red Hat Enterprise release 9.7 (Plow) 5.14.0-611.9.1.el9_7.x86_64","64 bit","4 GB",2,"Intel(R) Xeon(R) CPU E5-4620 v2 @ 2.60GHz",2,"Online","Connected","Up to date","Aborted( Mar 26, 2025 02:16:13 PM )","172.31.52.132","No","Off","30dff827-305e-24fb-bac7-5c73fd1e32ee",2179097268212799804,"N/A","N/A","Not disabled","N/A","Nov 28, 2025 12:00:22 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SHOMBDITSMGRU01","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","200.174.72.155","24.3.3.6","N/A","Feb 25, 2025 05:47:57 PM","server","VMware, Inc. VMware7,1","Linux","Linux,Ubuntu 24.04.2 LTS 6.8.0-85-generic","64 bit","23 GB",4,"Intel(R) Xeon(R) CPU E5-4620 v2 @ 2.60GHz",8,"Offline","Connected","Up to date","Completed( Feb 25, 2025 06:07:40 PM )","172.31.52.101","No","Off","27a84c09-6a40-ce4f-8799-9c8f67681353",2158194873473337840,"N/A","N/A","Not disabled","N/A","Oct 07, 2025 02:23:28 PM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
