"Asset Datalist Report","30 Nov 2025 11:03PM GMT-0300","658"
"Delfia","Alameda Tocantins, 350","Barueri","None","06455-020","Brazil"
"Evandro Santiago","defa6es","CSAM customers,All Roles Customers,CSAM customers,All Roles Customers"
"Asset Name","Netbios Name","Mac Address","IPV4 Addresses","IPV6 Addresses","Operating System Category","OS","Operating System Version","Operating System Lifecycle Stage"
"GRU-TI-754TC44.gru.local","GRU-TI-754TC44","58:6D:67:68:A8:9E,58:6D:67:68:A8:9E,58:6D:67:68:A8:9E,00:50:56:C0:00:00,58:6D:67:68:A8:9E,00:50:56:C0:00:08,00:50:56:C0:00:02,00:50:56:C0:00:02,00:50:56:C0:00:08,00:50:56:C0:00:00,58:6D:67:68:A8:9E","169.254.60.228,192.168.0.25,192.168.72.1,192.168.80.1","2804:14c:bf2a:8206:0:0:0:1000,2804:14c:bf2a:8206:3b8f:719e:1032:81e4,2804:14c:bf2a:8206:a5ad:d93:785b:45c,fe80:0:0:0:1193:a3c0:538c:e4df,fe80:0:0:0:14dd:f3e0:e2f6:313a,fe80:0:0:0:c5a7:66a9:fd8c:9dd7,fe80:0:0:0:e4f0:bac3:e542:b17f","Windows / Client","Microsoft Windows 11 Pro 24H2 Build 26100.6901 64-Bit","24H2","GA"
"SPRDAPSPGGRU01","'-","00:50:56:a3:9f:6f,00:50:56:a3:9f:6f","172.31.50.123","fe80:0:0:0:250:56ff:fea3:9f6f","Linux / Server","Red Hat Enterprise Linux 9 9.7","9.7","GA"
"SHOMADGRU01.gru.local","SHOMADGRU01","00:50:56:9D:2C:1B","172.31.52.24","","Windows / Server","Microsoft Windows Server 2012 Standard 6.2 Build 9200.24523 64-Bit","6.2","EOL/EOS"
"SPRDAPGLPIGRU01","'-","00:50:56:b6:77:8d,00:50:56:b6:77:8d","172.31.50.80","fe80:0:0:0:250:56ff:feb6:778d","Linux / Unidentified","Canonical Ubuntu Jammy Jellyfish 22.04 LTS 22.04.5 LTS","22.04 LTS","GA"
"SPRDSQLGRU02.gru.local","SPRDSQLGRU02","00:50:56:9D:60:D0,00:50:56:9D:3D:06,00:50:56:9D:3D:06,00:50:56:9D:3D:06,00:50:56:9D:3D:06,00:50:56:9D:3D:06,00:50:56:9D:3D:06,00:50:56:9D:3D:06,00:50:56:9D:3D:06,00:50:56:9D:3D:06,00:50:56:B6:24:EA","1.1.1.2,172.31.50.4,172.31.50.12,172.31.50.71,172.31.50.147,172.31.50.228,172.31.50.229,172.31.50.236,172.31.50.237,172.31.50.243,172.31.62.55","","Windows / Server","Microsoft Windows Server 2008 R2 Enterprise 6.1 SP1 Build 7601.24055 64-Bit","6.1","EOL/EOS"
"SPRDAPRPGRU13","'-","00:50:56:b6:1c:a9,00:50:56:b6:1c:a9","192.168.0.59","fe80:0:0:0:250:56ff:feb6:1ca9","Linux / Unidentified","Canonical Ubuntu Jammy Jellyfish 22.04 LTS 22.04.5 LTS","22.04 LTS","GA"
"SPRDAPIAMGRU10.gru.local","SPRDAPIAMGRU10","00:50:56:A3:58:F2","172.31.50.214","","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.7876 64-Bit","1607","EOL"
"SPRDCFTVGRU203","SPRDCFTVGRU203","68:05:CA:32:65:85,68:05:CA:32:65:84,68:05:CA:32:65:87,E8:65:5F:FF:94:6E","10.36.60.203,10.36.61.203,172.31.57.203,172.31.62.203","","Windows / Server","Microsoft Windows Server 2022 Standard 21H2 Build 20348.4171 64-Bit","21H2","GA"
"SPRDSIEM01","'-","00:50:56:b6:3d:b5,00:50:56:b6:3d:b5","172.31.46.30","fe80:0:0:0:250:56ff:feb6:3db5","Linux / Server","Debian Project Debian Bullseye 11.11","11.11","GA"
"shomapprmgru01","'-","00:50:56:8a:89:87,00:50:56:8a:89:87","10.36.52.134","fe80:0:0:0:250:56ff:fe8a:8987","Linux / Unidentified","Canonical Ubuntu Jammy Jellyfish 22.04 LTS 22.04.5 LTS","22.04 LTS","GA"
"SIAS1-GRU.gru.local","SIAS1-GRU","00:50:56:A9:7F:FC","172.31.50.248","","Windows / Server","Microsoft Windows Server 2008 R2 Standard 6.1 SP1 64-Bit","6.1","EOL/EOS"
"SHOMAPHSEGRU01.gru.local","SHOMAPHSEGRU01","00:50:56:A1:C4:21","10.36.52.55","","Windows / Server","Microsoft Windows Server 2016 Datacenter 1607 Build 14393.8422 64-Bit","1607","EOL"
"SPRDVCAMSGRU01.gru.local","SPRDVCAMSGRU01","00:50:56:92:DC:2A","172.31.49.129","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.6659 64-Bit","1809","EOL"
"SPRDCFTVGRU209","SPRDCFTVGRU209","00:E0:ED:DA:B0:2A,00:E0:ED:DA:B0:2B,00:E0:ED:DA:B0:28,E8:65:5F:FF:93:D6,00:E0:ED:DA:B0:28","10.36.60.209,10.36.61.209,172.31.57.209,172.31.62.209","fe80:0:0:0:6138:4a27:ee7b:3ef","Windows / Server","Microsoft Windows Server 2022 Standard 21H2 Build 20348.4171 64-Bit","21H2","GA"
"SPRDCFTVGRU201.gru.local","SPRDCFTVGRU201","00:E0:ED:DA:AE:82,00:E0:ED:DA:AE:83,00:E0:ED:DA:AE:81,E8:65:5F:FF:91:5E","10.36.60.201,10.36.61.201,172.31.57.201,172.31.62.201","","Windows / Server","Microsoft Windows Server 2022 Standard 21H2 Build 20348.4171 64-Bit","21H2","GA"
"sprdbdoragru04.gru.local","'-","b8:ca:3a:33:8e:a8,b8:ca:3a:33:8e:a8,b8:ca:3a:33:8e:a8,b8:ca:3a:33:8e:a8,b8:ca:3a:33:8e:a8,b8:ca:3a:33:8e:a8,b8:ca:3a:33:8e:a8,b8:ca:3a:33:8e:a8","10.1.1.17,169.254.249.133,172.31.49.91,172.31.49.141,172.31.49.143,172.31.49.144,172.31.62.29","fe80:0:0:0:baca:3aff:fe33:8ea8","Linux / Server","Red Hat Enterprise Linux Server 6 6.10","6.10","EOL/EOS"
"SPRDCCTVGRU05.gru.local","SPRDCCTVGRU05","C8:1F:66:D1:BB:0D,C8:1F:66:D1:BB:0E,C8:1F:66:D1:BB:10","10.36.57.55,10.36.60.52,10.36.61.52","","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.4974 64-Bit","1809","EOL"
"SPRDVCHSEGRU05","SPRDVCHSEGRU05","00:50:56:B6:FE:65","172.31.49.56","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.6189 64-Bit","1809","EOL"
"SPRDSKPPCGRU12","1950237-112","02:50:66:03:35:6D,00:50:56:A3:7D:68,02:50:66:03:35:6D,02:50:66:03:35:6D,00:50:56:A3:7D:68","26.10.142.123,172.31.48.34","fdfd:0:0:0:0:0:1a0a:8e7b,fe80:0:0:0:5511:83d4:907b:c1b7,fe80:0:0:0:b423:d6b6:14ba:8659","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.7606 64-Bit","1607","EOL"
"sprdbdoragru05.gru.local","'-","B8:CA:3A:35:19:E8,B8:CA:3A:35:19:E8,B8:CA:3A:35:19:E8,B8:CA:3A:35:19:E8,B8:CA:3A:35:19:E8,B8:CA:3A:35:19:E8,B8:CA:3A:35:19:E8","10.1.1.18,169.254.196.231,172.31.49.92,172.31.49.142,172.31.49.145,172.31.62.30","fe80:0:0:0:baca:3aff:fe35:19e8","Linux / Server","Red Hat Enterprise Linux Server 6 6.10","6.10","EOL/EOS"
"SPRDAPCMSNGX01","'-","00:50:56:a3:b1:67","192.168.0.51","","Linux / Server","Red Hat Enterprise Linux 9 9.7","9.7","GA"
"SPRDSKPPCGRU15","1950237-115","02:50:26:F5:E8:20,00:50:56:A3:6B:59,02:50:26:F5:E8:20,00:50:56:A3:6B:59,02:50:26:F5:E8:20","26.151.62.165,172.31.48.37","fdfd:0:0:0:0:0:1a97:3ea5,fe80:0:0:0:27:6815:1908:4012,fe80:0:0:0:7076:176e:488f:5008","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.7606 64-Bit","1607","EOL"
"SPRDAPIAMGRU02","'-","00:50:56:a3:00:8f,00:50:56:a3:00:8f","172.31.50.104","fe80:0:0:0:250:56ff:fea3:8f","Linux / Server","Red Hat Enterprise Linux 9 9.7","9.7","GA"
"SHOMBDCMSGRU01.gru.local","SHOMBDCMSGRU01","00:50:56:B6:13:DA,00:50:56:B6:B6:05,00:50:56:B6:B6:05","172.31.52.33,172.31.62.130","fe80:0:0:0:fa1:8b03:ca8:a139","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.8027 64-Bit","1809","EOL"
"SPRDCCTVGRU21.gru.local","SPRDCCTVGRU21","00:0A:F7:2F:73:50,00:0A:F7:2F:73:50,00:0A:F7:2F:73:50,00:0A:F7:2F:73:50,00:0A:F7:2F:73:51,00:0A:F7:2F:73:52,F0:1F:AF:DD:23:5C","10.36.57.101,10.36.57.113,10.36.57.114,10.36.57.115,10.36.60.101,10.36.61.101,169.254.156.113","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.4252 64-Bit","1809","EOL"
"SPRDAPJPGRU05.gru.local","SPRDAPJPGRU05","00:50:56:A3:9D:87,00:50:56:A3:9D:87","172.31.131.69","fe80:0:0:0:e80a:ee89:970c:bda7","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.7919 64-Bit","1809","EOL"
"SSERV1-GRU.gru.local","SSERV1-GRU","00:50:56:A3:AE:25","172.31.50.89","","Windows / Server","Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.24356","6.1","EOL/EOS"
"SPRDAPCUPSGRU03","'-","00:50:56:a3:5a:db","172.31.49.208","","Linux / Server","Red Hat Enterprise Linux 9 9.7","9.7","GA"
"SPRDAPBROGRU01.gru.local","SPRDAPBROGRU01","00:50:56:B6:47:0F,00:50:56:B6:47:0F","172.31.50.134","fe80:0:0:0:a965:2fde:f267:138c","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.3165 64-Bit","1809","EOL"
"SPRDAPBCBPGRU02","SPRDAPBCBPGRU02","00:50:56:A3:BC:F2","172.31.49.160","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.3328 64-Bit","21H2","GA"
"SPRDZBGRU03","'-","00:50:56:92:97:71,00:50:56:92:97:71","172.16.253.70","fe80:0:0:0:250:56ff:fe92:9771","Linux / Unidentified","Canonical Ubuntu Noble Numbat 24.04 LTS 24.04.3 LTS","24.04 LTS","GA"
"sdevapecgru01","'-","00:50:56:9d:12:cc,00:50:56:9d:12:cc","172.31.52.103","fe80:0:0:0:250:56ff:fe9d:12cc","Linux / Server","Red Hat Enterprise Linux Server 6 6.10","6.10","EOL/EOS"
"SPRDCCTVGRU26.gru.local","SPRDCCTVGRU26","B8:CA:3A:66:F2:6C,B8:CA:3A:66:F2:6C,B8:CA:3A:66:F2:6C,B8:CA:3A:66:F2:6C,00:0A:F7:2A:3A:02,00:0A:F7:2A:3A:03","10.36.57.106,10.36.57.130,10.36.57.131,10.36.57.132,10.36.60.106,10.36.61.106","","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.4252 64-Bit","1809","EOL"
"SHOMAPWSGRU03.gru.local","SHOMAPWSGRU03","00:50:56:8A:4A:CE","10.36.52.107","","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.8027 64-Bit","1809","EOL"
"SPRDCCTVGRU30.gru.local","SPRDCCTVGRU30","C8:1F:66:D3:7C:11,C8:1F:66:D3:7C:11,C8:1F:66:D3:7C:11,C8:1F:66:D3:7C:11,C8:1F:66:D3:7C:12,C8:1F:66:D3:7C:14,C8:1F:66:D3:7C:12","10.36.57.104,10.36.57.123,10.36.57.124,10.36.57.125,10.36.60.104,10.36.61.104","fe80:0:0:0:1db8:47ab:7e0e:a929","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.4645 64-Bit","1809","EOL"
"sprdaprdggru01.gru.local","SPRDAPRDGGRU01","00:50:56:92:50:BF","192.168.0.29","","Windows / Server","Microsoft Windows Server 2012 R2 Datacenter 6.3 Build 9600.19652 64-Bit","6.3","EOL/EOS"
"SPRDPRGGRU02.gru.local","SPRDPRGGRU02","00:50:56:9D:62:41","172.31.50.172","","Windows / Server","Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.24055 64-Bit","6.1","EOL/EOS"
"SPRDAPIAMGRU05.gru.local","SPRDAPIAMGRU05","00:50:56:A3:36:58","172.31.50.205","","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.8519 64-Bit","1607","EOL"
"SPRDSKPPCGRU13","1950237-113","00:50:56:A3:4E:C0,02:50:56:E0:2F:45,02:50:56:E0:2F:45,02:50:56:E0:2F:45,00:50:56:A3:4E:C0","26.12.94.132,172.31.48.35","fe80:0:0:0:6cfe:df47:ad5d:37f3,fdfd:0:0:0:0:0:1a0c:5e84,fe80:0:0:0:1a0:4fbf:3906:1679","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.7606 64-Bit","1607","EOL"
"sprdapprmgru01","'-","00:50:56:b6:13:3d,00:50:56:b6:13:3d","172.31.50.167","fe80:0:0:0:250:56ff:feb6:133d","Linux / Unidentified","Canonical Ubuntu Jammy Jellyfish 22.04 LTS 22.04.5 LTS","22.04 LTS","GA"
"SPRDAPHSEGRU01.gru.local","SPRDAPHSEGRU01","00:50:56:92:5D:D0,00:50:56:92:5D:D0","172.31.49.22","fe80:0:0:0:48de:5679:801e:a65e","Windows / Server","Microsoft Windows Server 2016 Datacenter 1607 Build 14393.6452 64-Bit","1607","EOL"
"sprdapgfngru02","'-","00:50:56:a3:ef:e1,00:50:56:a3:ef:e1","172.16.253.82","fe80:0:0:0:250:56ff:fea3:efe1","Linux / Unidentified","Canonical Ubuntu Focal Fossa 20.04 LTS 20.04.6 LTS","20.04 LTS","EOL/EOS"
"SPRDAPCMSP03","'-","00:50:56:a3:6f:ec,c6:cb:5f:dc:a0:46,00:50:56:a3:6f:ec","10.88.0.1,172.31.49.183","fe80:0:0:0:250:56ff:fea3:6fec","Linux / Server","Red Hat Enterprise Linux 9 9.6","9.6","EOL"
"SAD2-GRU.gru.local","SAD2-GRU","9A:B2:5B:E1:9F:35,9A:B2:5B:E1:9F:35","172.31.50.21","fe80:0:0:0:df9:ac18:e17c:6e7d","Windows / Server","Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.24559","6.1","EOL/EOS"
"sprdapecgru05","'-","54:9f:35:71:d9:48,54:9f:35:71:dc:1d,54:9f:35:71:d9:48,54:9f:35:71:dc:1d","172.31.49.166,172.31.62.23","fe80:0:0:0:569f:35ff:fe71:d948,fe80:0:0:0:569f:35ff:fe71:dc1d","Linux / Server","Red Hat Enterprise Linux Server 6 6.10","6.10","EOL/EOS"
"SPRDAPIAMGRU08.gru.local","SPRDAPIAMGRU08","00:50:56:A3:47:09","172.31.50.209","","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.8519 64-Bit","1607","EOL"
"SHOMWBBENGRU01.gru.local","SHOMWBBENGRU01","00:50:56:8A:FE:48","10.36.52.74","","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.8027 64-Bit","1809","EOL"
"SPRDAPDCLGRU02.gru.local","SPRDAPDCLGRU02","00:50:56:9D:3A:9E,00:50:56:9D:3A:9E","172.31.49.188","fe80:0:0:0:5d85:47ad:ec68:9d52","Windows / Server","Microsoft Windows Server 2012 R2 Datacenter 6.3 Build 9600.19377 64-Bit","6.3","EOL/EOS"
"SPRDAPSCOGRU03.gru.local","SPRDAPSCOGRU03","00:50:56:9D:71:6D","172.31.49.88","","Windows / Server","Microsoft Windows Server 2016 Datacenter 1607 Build 14393.8519 64-Bit","1607","EOL"
