"Asset Datalist Report","30 Nov 2025 11:03PM GMT-0300","658"
"Delfia","Alameda Tocantins, 350","Barueri","None","06455-020","Brazil"
"Evandro Santiago","defa6es","CSAM customers,All Roles Customers,CSAM customers,All Roles Customers"
"Asset Name","Netbios Name","Mac Address","IPV4 Addresses","IPV6 Addresses","Operating System Category","OS","Operating System Version","Operating System Lifecycle Stage"
"SPRDVCWEBGRU02.gru.local","SPRDVCWEBGRU02","00:50:56:92:03:8D,00:50:56:92:03:8D","172.31.49.148","fe80:0:0:0:e210:8f9a:d484:bd87","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.5329 64-Bit","1809","EOL"
"sprdapbhsgru01.gru.local","SPRDAPBHSGRU01","00:50:56:A3:70:A4","172.31.50.232","","Windows / Server","Microsoft Windows Server 2012 Standard 6.2 Build 9200 64-Bit","6.2","EOL/EOS"
"SPRDAPESBGRU12","SPRDAPRIMAGRU01","00:50:56:A3:C0:FA","172.31.50.155","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.3453 64-Bit","21H2","GA"
"SPRDBDSPGGRU01","'-","00:50:56:a3:1f:95,00:50:56:a3:1f:95","172.31.50.122","fe80:0:0:0:250:56ff:fea3:1f95","Linux / Server","Red Hat Enterprise Linux 9 9.7","9.7","GA"
"SPRDAUTGRU01.gru.local","SPRDAUTGRU01","90:B1:1C:47:38:CC,90:B1:1C:47:38:CC,90:B1:1C:47:38:CB","172.31.34.28,172.31.50.238","fe80:0:0:0:4057:c7a9:9153:7fca","Windows / Server","Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.24055 64-Bit","6.1","EOL/EOS"
"SPRDADGRU02.gru.local","SPRDADGRU02","00:50:56:92:AD:01,00:50:56:92:AD:01","172.31.50.25","fe80:0:0:0:f9e2:61bb:78bd:10e","Windows / Server","Microsoft Windows Server 2008 R2 Standard 6.1 SP1 Build 7601.24564 64-Bit","6.1","EOL/EOS"
"SPRDSHPINTGRU01.gru.local","SPRDSHPINTGRU01","00:50:56:9D:28:19","172.31.49.241","","Windows / Server","Microsoft Windows Server 2012 R2 Datacenter 6.3 Build 9600.20778","6.3","EOL/EOS"
"SPRDAPSTWBGRU01.gru.local","SPRDAPSTWBGRU01","00:50:56:9D:05:4A","172.31.49.128","","Windows / Server","Microsoft Windows Server 2008 R2 Enterprise 6.1 SP1 64-Bit","6.1","EOL/EOS"
"SPRDSKPPCGRU04","1950237-104","00:50:56:A3:4A:45,02:50:A6:4D:23:B5,02:50:A6:4D:23:B5,00:50:56:A3:4A:45,02:50:A6:4D:23:B5","172.31.48.26,26.180.31.110","fdfd:0:0:0:0:0:1ab4:1f6e,fe80:0:0:0:1498:cb03:a0f1:1fe9,fe80:0:0:0:417b:8f6f:7290:b9bb","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.6529 64-Bit","1607","EOL"
"SPRDAPFILAGRU01.gru.local","SPRDAPFILAGRU01","00:50:56:B6:5D:B4","172.31.57.58","","Windows / Server","Microsoft Windows Server 2022 Standard 21H2 Build 20348 UBR 2582 64-Bit","21H2","GA"
"SPRDAPEGTGRU05.gru.local","SPRDAPEGTGRU05","00:50:56:A3:36:5F","172.31.49.64","","Windows / Server","Microsoft Windows Server 2012 Datacenter 6.2 Build 9200.24314 64-Bit","6.2","EOL/EOS"
"SPRDAPBCCGRU01.gru.local","SPRDAPBCCGRU01","00:50:56:92:1C:79","172.31.49.135","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.3770","1809","EOL"
"SPRDJPBEUMER-01.gru.local","SPRDJPBEUMER-01","00:50:56:B6:DD:6A","172.31.49.78","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.8027 64-Bit","1809","EOL"
"SPRDAPDGFGRU01.gru.local","SPRDAPDGFGRU01","B8:2A:72:52:45:52,B8:2A:72:52:4A:1F,B8:2A:72:52:45:4F","10.36.60.230,10.36.60.231,192.168.0.43","","Windows / Server","Microsoft Windows Server 2012 R2 Standard 6.3 Build 9600.20778","6.3","EOL/EOS"
"SPRDCFTVGRU217.gru.local","SPRDCFTVGRU217","E8:65:5F:FF:8E:9E,68:05:CA:32:65:BD,68:05:CA:32:65:BC,68:05:CA:32:65:BF,68:05:CA:32:65:BF","172.31.62.217,10.36.60.217,10.36.61.217,172.31.57.217","fe80:0:0:0:ca79:859a:e99f:df7e","Windows / Server","Microsoft Windows Server 2022 Standard 21H2 Build 20348.4171 64-Bit","21H2","GA"
"SPRDBDHSQLGRU09.gru.local","SPRDBDHSQLGRU09","00:50:56:A3:7A:F8,00:50:56:A3:D0:34,00:50:56:A3:A8:B7,02:31:48:05:5C:0C,02:31:48:05:5C:0C,00:50:56:A3:7A:F8,00:50:56:A3:7A:F8,00:50:56:A3:7A:F8","1.1.1.161,172.31.62.102,169.254.2.182,172.31.49.100,172.31.49.101,172.31.49.102","fe80:0:0:0:be1a:a44f:64fa:a983,fe80:0:0:0:1c49:44ef:9bd8:e597","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.3328 64-Bit","21H2","GA"
"SHOMAPCMSGRU05.gru.local","SHOMAPCMSGRU05","00:50:56:B6:D5:A4","172.31.52.222","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.4294 64-Bit","21H2","GA"
"SPRDVCBKPGRU01.gru.local","SPRDVCBKPGRU01","00:50:56:B6:64:CA,00:50:56:B6:62:5E,00:50:56:B6:64:CA","172.31.50.149,172.31.62.149","fe80:0:0:0:8425:999a:e805:acfe","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.7792 64-Bit","1809","EOL"
"SPRDCCTVGRU02.gru.local","SPRDCCTVGRU02","B8:CA:3A:F7:46:D6,B8:CA:3A:F7:46:D3,B8:CA:3A:F7:46:D6,00:0A:F7:2A:22:62,00:0A:F7:2A:22:62","10.36.57.47,10.36.60.46,10.36.61.46","fe80:0:0:0:b252:296:cdec:ee8d,fe80:0:0:0:1bbc:da34:e882:b6af","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.5458 64-Bit","1809","EOL"
"SPRDSKDAUGRU02","1950237-01","00:50:56:A3:45:E7,00:50:56:A3:45:E7","192.168.1.109","fe80:0:0:0:441a:118d:ea3e:aec4","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.6529 64-Bit","1607","EOL"
"SPRDAPHSEGRU06.gru.local","SPRDAPHSEGRU06","00:50:56:92:B2:E8,00:50:56:92:B2:E8,00:50:56:92:18:4B,00:50:56:92:18:4B","172.31.62.158,172.31.49.158","fe80:0:0:0:9bfd:be4c:f0f2:7603,fe80:0:0:0:4ad5:99ee:5290:fe6","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.5936 64-Bit","1809","EOL"
"SPRDCCTVGRU01.gru.local","SPRDCCTVGRU01","B8:CA:3A:F6:A3:89,B8:CA:3A:F6:A3:89,B8:CA:3A:F6:A3:89,B8:CA:3A:F6:A3:87,00:0A:F7:2A:21:A3,00:0A:F7:2A:21:A3,00:0A:F7:2A:21:A2","10.36.57.57,10.36.57.58,10.36.57.59,10.36.60.64,169.254.182.208,10.36.61.64","fe80:0:0:0:8fa5:767f:ae28:7ed4","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.3650 64-Bit","1809","EOL"
"SPRDSKPPCGRU08","1950237-108","00:50:56:A3:3A:E9,02:50:D7:D8:26:71,02:50:D7:D8:26:71,02:50:D7:D8:26:71,00:50:56:A3:3A:E9","26.80.0.44,172.31.48.30","fe80:0:0:0:e16d:b971:c8cd:1dd6,fdfd:0:0:0:0:0:1a50:2c,fe80:0:0:0:45eb:2fb8:ab99:ab48","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.7606 64-Bit","1607","EOL"
"SPRDAPCMSGRU05.gru.local","'-","b8:ca:3a:35:1a:6a,b8:ca:3a:35:1a:6a,b8:ca:3a:35:1a:6a","172.31.49.90,172.31.62.32","fe80:0:0:0:baca:3aff:fe35:1a6a","Linux / Server","Red Hat Enterprise Linux Server 6 6.10","6.10","EOL/EOS"
"SPRDAPNFSGRU01","SPRDAPNFSGRU01","00:50:56:a3:33:91,00:50:56:a3:33:91","172.31.49.68","fe80:0:0:0:250:56ff:fea3:3391","Linux / Server","Red Hat Enterprise Linux 9 9.7","9.7","GA"
"SPRDAPRPAGRU02.gru.local","SPRDAPRPAGRU02","00:50:56:9D:1F:B9,00:50:56:9D:1F:B9","172.31.49.20","fe80:0:0:0:2568:ad26:4564:f61f","Windows / Server","Microsoft Windows Server 2016 Datacenter 1607 Build 14393.3866 64-Bit","1607","EOL"
"SPRDCCTVGRU09.gru.local","SPRDCCTVGRU09","00:26:B9:34:64:D4,00:26:B9:34:64:D4,00:26:B9:34:64:D4,00:26:B9:34:64:D4,00:26:B9:34:64:D4,00:26:B9:34:64:D4,00:26:B9:34:64:D4,00:26:B9:34:64:D6,00:26:B9:34:64:D6,00:26:B9:34:64:DA,00:26:B9:34:64:DA","10.36.57.44,10.36.57.41,10.36.57.42,10.36.57.43,10.36.57.45,10.36.57.46,10.36.60.50,10.36.61.50","fe80:0:0:0:ac63:a65a:1e46:5226,fe80:0:0:0:dc0:882:74e0:98f5,fe80:0:0:0:a15d:2a29:4a88:363","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.5458 64-Bit","1809","EOL"
"SPRDAPCMSGRU08","'-","54:9f:35:71:e3:fa,54:9f:35:71:d9:da,54:9f:35:71:d9:d7,52:54:00:db:b5:83,54:9f:35:71:e3:fa","172.31.49.127,172.31.49.199,192.168.122.1,172.31.62.34","fe80:0:0:0:569f:35ff:fe71:e3fa","Linux / Server","Red Hat Enterprise Linux 8 8.10","8.10","GA"
"SPRDAPGLPIGRU02","'-","00:50:56:b6:7b:11,00:50:56:b6:7b:11","172.31.50.82","fe80:0:0:0:250:56ff:feb6:7b11","Linux / Unidentified","Canonical Ubuntu Jammy Jellyfish 22.04 LTS 22.04.5 LTS","22.04 LTS","GA"
"SHOMAPBCBPGRU01.gru.local","SHOMAPBCBPGRU01","00:50:56:B6:CB:CF","172.31.52.239","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.4294 64-Bit","21H2","GA"
"SPRDAPCMSGRU10.gru.local","SPRDAPCMSGRU10","00:50:56:A3:8A:4C","172.31.50.16","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.3453 64-Bit","21H2","GA"
"SPRDMYSQLGRU03","'-","00:50:56:a3:ca:84,00:50:56:a3:ca:84","172.31.49.234","fe80:0:0:0:250:56ff:fea3:ca84","Linux / Unidentified","Canonical Ubuntu Noble Numbat 24.04 LTS 24.04.3 LTS","24.04 LTS","GA"
"SPRDAPLGGRU01.gru.local","SPRDAPLGGRU01","00:50:56:92:7F:5C","172.31.49.110","","Windows / Server","Microsoft Windows Server 2016 Datacenter 1607 Build 14393.7070 64-Bit","1607","EOL"
"SPRDAPCMSP02","'-","00:50:56:a3:b5:4c,2e:fa:8b:8b:66:04,00:50:56:a3:b5:4c","10.88.0.1,172.31.49.182","fe80:0:0:0:250:56ff:fea3:b54c","Linux / Server","Red Hat Enterprise Linux 9 9.6","9.6","EOL"
"SPRDAPDIPGRU01","'-","00:50:56:a3:b1:78,00:50:56:a3:b1:78","192.168.40.136","fe80:0:0:0:250:56ff:fea3:b178","Linux / Server","Oracle Linux 9 9.4","9.4","GA"
"SPRDAPDHCPGRU02.gru.local","SPRDAPDHCPGRU02","00:50:56:92:57:C1,00:50:56:92:57:C1","172.31.49.122","fe80:0:0:0:952f:2650:6f21:c86d","Windows / Server","Microsoft Windows Server 2012 R2 Datacenter 6.3 Build 9600.21620 64-Bit","6.3","EOL/EOS"
"SPRDAPATEGRU01.gru.local","SPRDAPATEGRU01","00:50:56:9D:78:25","172.31.50.233","","Windows / Server","Microsoft Windows Server 2016 Datacenter 1607 Build 14393.8422 64-Bit","1607","EOL"
"SPRDAPCONVGRU01.gru.local","SPRDAPCONVGRU01","00:50:56:92:C1:01,00:50:56:92:25:71","172.31.50.101,172.31.6.55","","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.8422 64-Bit","1607","EOL"
"SPRDCFTVGRU202.gru.local","SPRDCFTVGRU202","E8:65:5F:FF:BB:06,00:E0:ED:DA:AF:72,00:E0:ED:DA:AF:73,00:E0:ED:DA:AF:70","172.31.62.202,10.36.60.202,10.36.61.202,172.31.57.202","","Windows / Server","Microsoft Windows Server 2022 Standard 21H2 Build 20348.4171 64-Bit","21H2","GA"
"SDESAPNWGRU01","'-","00:50:56:9d:65:56,00:50:56:9d:65:56","172.31.52.122","fe80:0:0:0:250:56ff:fe9d:6556","Linux / Server","Red Hat Enterprise Linux Server 6 6.10","6.10","EOL/EOS"
"SPRDCFTVGRU207","SPRDCFTVGRU207","E8:65:5F:FF:91:7E,00:E0:ED:DA:B0:66,00:E0:ED:DA:B0:67,00:E0:ED:DA:B0:64","172.31.62.207,10.36.60.207,10.36.61.207,172.31.57.207","","Windows / Server","Microsoft Windows Server 2022 Standard 21H2 Build 20348.4171 64-Bit","21H2","GA"
"SPRDAPBHSGRU02.gru.local","SPRDAPBHSGRU02","00:50:56:B6:F8:6D","172.31.50.218","","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.3113 64-Bit","1809","EOL"
"SPRDSKPPCGRU05","1950237-105","00:50:56:A3:06:F9,02:50:AF:A3:09:7C,02:50:AF:A3:09:7C,02:50:AF:A3:09:7C,00:50:56:A3:06:F9","26.110.157.143,172.31.48.27","fe80:0:0:0:394f:6c4d:c49c:1e14,fdfd:0:0:0:0:0:1a6e:9d8f,fe80:0:0:0:a12a:26b2:cae7:eee8","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.6529 64-Bit","1607","EOL"
"TEST-AMS-SQL1.gru.local","TEST-AMS-SQL1","00:50:56:8A:04:FB","10.36.52.70","","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.8027 64-Bit","1809","EOL"
"SPRDCCTVGRU28.gru.local","SPRDCCTVGRU28","74:86:7A:EA:5D:3F,74:86:7A:EA:5D:3F,74:86:7A:EA:5D:3F,74:86:7A:EA:5D:3F,74:86:7A:EA:5D:3F,74:86:7A:EA:5D:3D,74:86:7A:EA:5D:3C","10.36.57.118,10.36.57.102,10.36.57.116,10.36.57.117,10.36.61.102,10.36.60.102","fe80:0:0:0:6920:9732:4410:8958","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.5458 64-Bit","1809","EOL"
"SPRDVCAMSGRU02.gru.local","SPRDVCAMSGRU02","00:50:56:92:A7:65","172.31.49.130","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.6775 64-Bit","1809","EOL"
"SPRDAPCOVGRU02.gru.local","SPRDAPCOVGRU02","02:1A:ED:38:38:AF,02:1A:ED:38:38:AF,00:50:56:B6:F2:CB,00:50:56:B6:0E:1C","169.254.1.242,10.1.1.20,172.31.49.223","fe80:0:0:0:f9bf:3ce6:14b8:3ec0","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.4974 64-Bit","1809","EOL"
"SPRDAPWEBGRU01.gru.local","SPRDAPWEBGRU01","00:50:56:9D:5E:08","172.31.49.227","","Windows / Server","Microsoft Windows Server 2008 R2 Enterprise 6.1 SP1 Build 7601.24385 64-Bit","6.1","EOL/EOS"
"SPRDAPWSGRU02.gru.local","SPRDAPWSGRU02","00:50:56:9D:7E:30","172.31.50.59","","Windows / Server","Microsoft Windows Server 2016 Datacenter 1607 Build 14393.8422 64-Bit","1607","EOL"
"SHOMBDGRU10.gru.local","SHOMBDGRU10","00:50:56:8A:C0:18","10.36.52.249","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.7792 64-Bit","1809","EOL"
"SPRDAPCMSW01","'-","00:50:56:a3:08:fb,00:50:56:a3:08:fb,00:50:56:a3:08:fb","192.168.0.64,192.168.0.62","fe80:0:0:0:250:56ff:fea3:8fb","Linux / Server","Red Hat Enterprise Linux 9 9.6","9.6","EOL"
"SVEDI2-GRU.gru.local","SVEDI2-GRU","00:50:56:9D:74:71","172.31.50.81","","Windows / Client","Microsoft Windows 7 Professional 6.1 SP1 Build 7601 32-Bit","6.1","EOL/EOS"
"SPRDAPIPAMGRU01","'-","00:50:56:a3:16:60","172.31.50.124","","Linux / Server","Red Hat Enterprise Linux 9 9.7","9.7","GA"
"WIN-262G2JIQA0A","SPRDAPPEAGRU01","00:50:56:A3:BA:9C","172.31.50.79","","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.7922 64-Bit","1809","EOL"
"SHOMBDGRU11.gru.local","SHOMBDGRU11","00:50:56:B6:E1:A9","172.31.52.50","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.4171 64-Bit","21H2","GA"
"SPRDSKPPCGRU01","1950237-101","02:50:B3:82:47:A6,02:50:B3:82:47:A6,02:50:B3:82:47:A6,00:50:56:A3:25:0B,00:50:56:A3:25:0B","26.59.189.237,172.31.48.23","fdfd:0:0:0:0:0:1a3b:bded,fe80:0:0:0:e851:7f32:1141:8c0c,fe80:0:0:0:61ea:cf06:fa93:d72d","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.8594 64-Bit","1607","EOL"
"SPRDMONGRU01","'-","00:50:56:b6:1c:a9,00:50:56:b6:1c:a9","172.31.49.41","fe80:0:0:0:250:56ff:feb6:1ca9","Linux / Unidentified","Canonical Ubuntu Jammy Jellyfish 22.04 LTS 22.04.5 LTS","22.04 LTS","GA"
"SPRDCCTVGRU20.gru.local","SPRDCCTVGRU20","00:0A:F7:2F:70:E5,00:0A:F7:2F:70:E5,00:0A:F7:2F:70:E5,00:0A:F7:2F:70:E5,00:0A:F7:2F:70:E7,F0:1F:AF:E1:4F:FB","10.36.57.112,10.36.57.100,10.36.57.110,10.36.57.111,10.36.60.100,10.36.61.100","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.4252 64-Bit","1809","EOL"
"SPRDBDHSQLGRU07.gru.local","SPRDBDHSQLGRU07","00:50:56:A3:92:7B,00:50:56:A3:23:01","172.31.62.173,172.31.50.171","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.3328 64-Bit","21H2","GA"
"SPRDBDHSQLGRU06.gru.local","SPRDBDHSQLGRU06","00:50:56:A3:5C:DA,00:50:56:A3:8F:D2","172.31.62.171,172.31.50.170","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.6189 64-Bit","1809","EOL"
"SPRDAPNTWSGRU01","'-","00:50:56:92:5c:b2,00:50:56:92:5c:b2,52:54:00:5a:bd:8e","172.31.62.186,192.168.122.1","fe80:0:0:0:250:56ff:fe92:5cb2","Linux / Server","Red Hat Enterprise Linux 8 8.10","8.10","GA"
"SPRDAPBCBPGRU01.gru.local","SPRDAPBCBPGRU01","00:50:56:A3:B3:E2","172.31.49.173","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.3328 64-Bit","21H2","GA"
"SHOMBISCCGRU02.gru.local","SHOMBISCCGRU02","00:50:56:95:33:C6","10.36.52.235","","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.7922 64-Bit","1809","EOL"
"sprdapsmgru02","'-","54:9f:35:71:d9:62,54:9f:35:71:dd:88,54:9f:35:71:d9:62,54:9f:35:71:d9:62,54:9f:35:71:dd:8b,54:9f:35:71:dd:88,54:9f:35:71:dd:8b,54:9f:35:71:d9:62","172.31.49.201,10.1.1.82,172.31.49.147,172.31.49.200,172.31.62.26","fe80:0:0:0:569f:35ff:fe71:dd8b,fe80:0:0:0:569f:35ff:fe71:dd88,fe80:0:0:0:569f:35ff:fe71:d962","Linux / Server","Red Hat Enterprise Linux Server 6 6.10","6.10","EOL/EOS"
"SPRDAPENVGRU02.gru.local","SPRDAPENVGRU02","02:00:4C:4F:4F:50,00:50:56:9D:7D:32","169.254.19.116,172.31.49.206","","Windows / Server","Microsoft Windows Server 2008 R2 Enterprise 6.1 SP1 Build 7601.24544","6.1","EOL/EOS"
"SPRDTSQGRU02.gru.local","SPRDTSQGRU02","00:50:56:B6:F9:71,00:50:56:B6:F9:71","172.31.50.174","fe80:0:0:0:abb1:52ea:307b:3215","Windows / Server","Microsoft Windows Server 2022 Standard 21H2 Build 20348.4171 64-Bit","21H2","GA"
"SPRDSKESBGRU01","E-SD","00:50:56:A3:1F:00,02:50:3E:D1:57:8C,02:50:3E:D1:57:8C,02:50:3E:D1:57:8C,00:50:56:A3:1F:00","26.211.138.90,192.168.1.108","fe80:0:0:0:cb2b:7e3:4833:248f,fdfd:0:0:0:0:0:1ad3:8a5a,fe80:0:0:0:7666:b11e:d8d7:913c","Windows / Client","Microsoft Windows 10 Pro 22H2 Build 19045.6456 64-Bit","22H2","EOL/EOS"
"SPRDAPCMSP01","'-","f2:5a:a8:57:63:c6,00:50:56:a3:e7:60,00:50:56:a3:e7:60","10.88.0.1,172.31.49.181","fe80:0:0:0:250:56ff:fea3:e760","Linux / Server","Red Hat Enterprise Linux 9 9.6","9.6","EOL"
"sprdbdoragru12","'-","54:9f:35:71:d9:21,54:9f:35:71:d9:21,54:9f:35:71:d9:f8,54:9f:35:71:d9:f8","172.31.49.70,172.31.62.18","fe80:0:0:0:5fd9:f42e:5705:3693,fe80:0:0:0:569f:35ff:fe71:d9f8","Linux / Server","Red Hat Enterprise Linux Server 7 7.9","7.9","EOL/EOS"
"SPRDWSUSGRU01.gru.local","SPRDWSUSGRU01","00:50:56:A3:6F:EB,00:50:56:A3:6F:EB","172.31.50.185","fe80:0:0:0:6f1f:4dc7:1bf7:9325","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.4297 64-Bit","21H2","GA"
"sprdaprpgru10","'-","00:50:56:92:35:a8","192.168.0.37","","Linux / Unidentified","Canonical Ubuntu Xenial Xerus 16.04 LTS 16.04.7 LTS","16.04 LTS","EOL/EOS"
"SPRDAPILMTGRU02.gru.local","SPRDAPILMTGRU02","00:50:56:B6:76:77,00:50:56:B6:76:77","172.31.49.59","fe80:0:0:0:5496:e6a8:1f17:4fa4","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.7792 64-Bit","1809","EOL"
"shomapglpigru01","'-","00:50:56:8a:1f:75,00:50:56:8a:1f:75","10.36.52.117","fe80:0:0:0:250:56ff:fe8a:1f75","Linux / Unidentified","Canonical Ubuntu Jammy Jellyfish 22.04 LTS 22.04.5 LTS","22.04 LTS","GA"
"SHOMWBCMSGRU01","'-","06:a1:2a:10:29:33,06:0d:ce:1e:14:c4,06:0d:ce:1e:14:c4,00:50:56:b6:da:65,52:54:00:00:5c:5b,00:50:56:b6:da:65,56:f8:eb:62:87:82,5a:08:3b:49:bc:87,6a:fa:48:01:d2:14,8e:2e:8c:b8:63:69,c2:8f:4a:22:53:6c,92:94:7d:53:0a:83","10.88.0.1,172.31.52.32,192.168.122.1","fe80:0:0:0:4a1:2aff:fe10:2933,fe80:0:0:0:40d:ceff:fe1e:14c4,fe80:0:0:0:250:56ff:feb6:da65,fe80:0:0:0:54f8:ebff:fe62:8782,fe80:0:0:0:5808:3bff:fe49:bc87,fe80:0:0:0:68fa:48ff:fe01:d214,fe80:0:0:0:8c2e:8cff:feb8:6369,fe80:0:0:0:c08f:4aff:fe22:536c,fe80:0:0:0:9094:7dff:fe53:a83","Linux / Server","Red Hat Enterprise Linux 8 8.10","8.10","GA"
"SPRDVCAPVGRU01.gru.local","SPRDVCAPVGRU01","00:50:56:92:93:2A","172.31.49.131","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.6775 64-Bit","1809","EOL"
"SPRDAPIHSGRU02","'-","00:50:56:a3:fd:17,52:54:00:be:05:e1","192.168.0.41,192.168.122.1","","Linux / Server","Red Hat Enterprise Linux 8 8.10","8.10","GA"
"SPRDSKPPCGRU16","1950237-116","00:50:56:A3:B8:21,00:50:56:A3:B8:21,02:50:9C:6F:DF:5E,02:50:9C:6F:DF:5E,02:50:9C:6F:DF:5E","172.31.48.38,26.44.199.179","fe80:0:0:0:189c:6a57:b221:37a9,fe80:0:0:0:dc2b:e1e4:70f1:7cbc,fdfd:0:0:0:0:0:1a2c:c7b3","Windows / Server","Microsoft Windows Server 2016 Standard 1607 Build 14393.8524 64-Bit","1607","EOL"
"SPRDAPCUPSGRU04","'-","00:50:56:a3:22:3b","172.31.49.209","","Linux / Server","Red Hat Enterprise Linux 9 9.7","9.7","GA"
"SPRDAPPVGRU02","SPRDAPPVGRU02","00:50:56:92:7C:4C","192.168.1.44","","Windows / Server","Microsoft Windows Server 2008 R2 Enterprise 6.1 SP1 Build 7601.23741 64-Bit","6.1","EOL/EOS"
"spbdoragru09.gru.local","'-","54:9F:35:73:0B:6E,54:9F:35:73:0C:EC,54:9F:35:73:0C:EC,54:9F:35:73:0B:6E,54:9F:35:73:0B:6E,54:9F:35:73:0B:6E,54:9F:35:73:0C:EC,54:9F:35:73:0C:EF,54:9F:35:73:0C:EF","172.31.49.189,10.1.1.57,169.254.26.230,172.31.49.150,172.31.49.191,172.31.62.16","fe80:0:0:0:569f:35ff:fe73:b6e,fe80:0:0:0:569f:35ff:fe73:cec,fe80:0:0:0:569f:35ff:fe73:cef","Linux / Server","Red Hat Enterprise Linux Server 6 6.6","6.6","EOL/EOS"
"stesappvgru01.gru.local","STESAPPVGRU01","00:50:56:9D:03:88","172.31.50.62","","Windows / Server","Microsoft Windows Server 2008 R2 Enterprise 6.1 SP1 Build 7601.24055 64-Bit","6.1","EOL/EOS"
"SPRDAPAUDGRU01.gru.local","SPRDAPAUDGRU01","00:50:56:A3:6F:36","172.31.57.69","","Windows / Server","Microsoft Windows Server 2019 Datacenter 1809 Build 17763.6293 64-Bit","1809","EOL"
"SPRDAPMNGGRU01.gru.local","SPRDAPMNGGRU01","00:50:56:A3:60:BD","172.31.49.77","","Windows / Server","Microsoft Windows Server 2022 Datacenter 21H2 Build 20348.4052 64-Bit","21H2","GA"
"SPRDCFTVGRU206","SPRDCFTVGRU206","E8:65:5F:FF:8E:0F,00:E0:ED:DA:AE:38,00:E0:ED:DA:AE:3A,00:E0:ED:DA:AE:3B","172.31.62.206,172.31.57.206,10.36.60.206,10.36.61.206","","Windows / Server","Microsoft Windows Server 2022 Standard 21H2 Build 20348.4171 64-Bit","21H2","GA"
"SHOMAPVPXGRU02.gru.local","SHOMAPVPXGRU02","00:50:56:8A:74:86","10.36.52.174","","Windows / Server","Microsoft Windows Server 2019 Standard 1809 Build 17763.8027 64-Bit","1809","EOL"
"SPRDAPECCGRU07","'-","00:50:56:a3:b3:e6,00:50:56:a3:b3:e6","172.31.49.211","fe80:0:0:0:250:56ff:fea3:b3e6","Linux / Server","Red Hat Enterprise Linux 9 9.7","9.7","GA"
"SPRDAPLOGSGRU01.GRU.LOCAL","'-","00:50:56:b6:f7:1b,02:42:6d:91:f5:63","172.31.49.221,172.17.0.1","","Linux / Server","Red Hat Enterprise Linux Server 7 7.9","7.9","EOL/EOS"
"sprdapecgru06","'-","54:9f:35:71:dc:d4,54:9f:35:71:d9:55,54:9f:35:71:dc:d4,54:9f:35:71:d9:55","172.31.49.167,172.31.62.24","fe80:0:0:0:569f:35ff:fe71:dcd4,fe80:0:0:0:569f:35ff:fe71:d955","Linux / Server","Red Hat Enterprise Linux Server 6 6.10","6.10","EOL/EOS"
